Date,Weekly_Sales,rolling_mean
2011-11-25,66593605.26,47407896.0975
2011-12-02,49390556.49,47626840.1775
2011-12-09,55561147.7,48607439.145833336
2011-12-16,60085695.94,50054739.07999999
2011-12-23,76998241.31,52954939.955000006
2011-12-30,46042461.04,52857504.345
2012-01-06,44955421.95,52905887.81583334
2012-01-13,42023078.48,52589564.902499996
2012-01-20,42080996.56,52274996.195
2012-01-27,39834974.67,51539948.72583333
2012-02-03,46085608.09,51340897.3375
2012-02-10,50009407.92,51638432.95083334
2012-02-17,50197056.96,50272053.92583334
2012-02-24,45771506.57,49970466.432500005
2012-03-02,46861034.97,49245457.038333334
2012-03-09,47480454.11,48195020.219166666
2012-03-16,46901504.94,45686958.855
2012-03-23,44993794.45,45599569.972500004
2012-03-30,45272862.02,45626023.31166667
2012-04-06,53502315.87,46582626.4275
2012-04-13,46629261.41,46961648.498333335
2012-04-20,45072529.78,47398111.42416667
2012-04-27,43716798.89,47200710.6575
2012-05-04,47124197.93,46960276.49166667
2012-05-11,46925878.99,46687678.32750001
2012-05-18,46823939.22,46775381.048333324
2012-05-25,47892463.31,46861333.41
2012-06-01,48281649.72,46928099.71083333
2012-06-08,49651171.78,47157238.61416667
2012-06-15,48412110.7,47442098.30166667
2012-06-22,47668284.97,47641716.880833335
2012-06-29,46597112.12,47066283.23500001
2012-07-06,51253021.88,47451596.607499994
2012-07-13,46099732.1,47537196.80083334
2012-07-20,46059543.45,47732425.514166676
2012-07-27,44097154.97,47480171.93416667
2012-08-03,47485899.56,47526840.315
2012-08-10,47403451.04,47575132.96666667
2012-08-17,47354452.05,47530298.695
2012-08-24,47447323.6,47460771.51833334
2012-08-31,47159639.43,47253143.8225
2012-09-07,48330059.31,47246306.20666667
2012-09-14,44226038.65,46959452.346666664
2012-09-21,44354547.11,46772571.92916667
2012-09-28,43734899.4,46146061.722500004
2012-10-05,47566639.31,46268303.99
2012-10-12,46128514.25,46274051.55666667
2012-10-19,45122410.57,46359489.52333333
2012-10-26,45544116.29,46197674.25083333
